Agency,State,Months,Population,ViolentCrimerate,Propertycrimerate
Abilene Police Dept,TX,12,120686,473.1,4428
Akron City Police Dept,OH,12,197891,690.3,4610.1
Albuquerque Police Dept,NM,12,558874,882.8,5446.1
Alexandria Police Dept,VA,12,151065,185.4,1974.6
Allentown City Police Dept,PA,12,118710,514.7,3218.8
Amarillo Police Dept,TX,12,197724,684.3,4748.5
Amherst Town Police Dept,NY,12,118860,107.7,1738.2
Anaheim Police Dept,CA,12,346956,317.3,2362.3
Anchorage Police Dept,AK,12,301306,864.6,3827
Ann Arbor Police Dept,MI,12,117768,165.6,1880.8
Antioch Police Dept,CA,12,108223,784.5,3871.6
Arlington Police Dept,TX,12,382976,484.1,3515.1
Arvada Police Dept,CO,12,113008,149.5,2359.1
Athens-Clarke County Police Department,GA,12,121511,306.1,3120.7
Atlanta Police Dept,GA,12,454363,1227.4,5747.4
Aurora Police Dept,CO,12,350948,407.5,2838.9
Aurora Police Dept,IL,12,200419,278.4,1487.9
Austin Police Dept,TX,12,903924,396.2,4142.4
Bakersfield Police Dept,CA,12,367406,456.7,3972.4
Baltimore City Police Dept,MD,12,623513,1338.5,4718.4
Baton Rouge Police Dept,LA,12,229387,924.2,4477.1
Beaumont Police Dept,TX,12,117898,890.6,4690.5
Bellevue Police Dept,WA,12,135449,106.3,3400.5
Berkeley Police Dept,CA,12,117753,366,4332.8
Billings Police Dept,MT,12,110245,381,4500
Birmingham Police Dept,AL,12,212115,1588.3,6566.7
Boise Police Dept,ID,12,216260,288.5,2086.8
Boston Police Dept,MA,12,654413,725.7,2638.9
Boulder Police Dept,CO,12,104284,234.9,2665.8
Bridgeport Police Dept,CT,12,147822,905.1,2898.8
Broken Arrow Police Dept,OK,12,104592,141.5,1640.7
Brownsville Police Dept,TX,12,183433,304.2,4091.4
Buffalo Police Dept,NY,12,258419,1227.9,4817.4
Burbank Police Dept,CA,12,105041,142.8,2309.6
Cambridge Police Dept,MA,12,108201,279.1,2412.2
Cape Coral Police Dept,FL,12,168712,143.4,1938.8
Carslbad Police Dept,CA,12,112297,181.7,1541.4
Carrollton Police Dept,TX,12,128577,129.1,2165.2
Cary Police Dept,NC,12,154978,63.2,1104
Cedar Rapids Police Dept,IA,12,128901,301,3912.3
Centennial,CO,12,107485,132.1,1207.6
Chandler Police Dept,AZ,12,252369,184.7,2236
Charleston City Police Dept,SC,12,129867,210.2,2297.7
Charlotte-Mecklenburg Police Department,NC,12,856916,589.8,3566.9
Chattanooga Police Dept,TN,12,174449,972.8,6305.6
Chesapeake Police Dept,VA,12,232489,429.7,2765.3
Chicago Police Dept,IL,12,2724121,,3133.2
Chula Vista Police Dept,CA,12,259894,235.5,1740.7
Cincinnati Police Dept,OH,12,297671,913.4,5603.5
Clarksville Police Dept,TN,12,144639,670.6,2962.5
Clearwater Police Dept,FL,12,110075,582.3,3891
Cleveland,OH,12,388655,1339.2,5458.8
Clovis Police Dept,CA,12,100705,214.5,3042.6
City Of College Station Police Dept,TX,12,101483,188.2,2308.8
Colorado Springs,CO,12,444949,455.6,3668.1
Columbia Police Dept,MO,12,116847,350.9,3413
Columbia Police Dept,SC,12,134124,772.4,5401
Columbus Police Dept,GA,12,206714,532.6,6471.7
Columbus Police Dept,OH,12,830811,558.5,4278.2
Concord Police Dept,CA,12,126744,366.9,4099.6
Coral Springs Police Dept,FL,12,127939,158.7,1939.2
Corona Police Dept,CA,12,161128,106.1,2134.9
Corpus Christi Police Dept,TX,12,319211,656,4420.3
Costa Mesa Police Dept,CA,12,112709,282.1,3071.6
Dallas Police Dept,TX,12,1272396,664.7,3589.2
Daly City Police Dept,CA,12,105628,183.7,1595.2
Davenport Police Dept,IA,12,102715,619.2,4084.1
Dayton,OH,12,143217,863.7,5586.6
Denton Police Dept,TX,12,125248,269.9,2435.2
Denver Police Dept,CO,12,665353,601.5,3367.4
Des Moines Police Dept,IA,12,208250,612.7,4260.3
Detroit Police Dept,MI,12,684694,1989.5,4818.9
Downey Police Dept,CA,12,113595,247.4,2550.3
Durham Police Dept,NC,12,249738,734.4,4438.7
Edison Twp Police Dept,NJ,12,101965,96.1,1083.7
El Cajon Police Dept,CA,12,102838,318,2189.9
El Monte Police Dept,CA,12,116220,286.5,1904.1
El Paso Police Dept,TX,12,680273,392.6,2141.8
Elgin Police Dept,IL,12,110595,198.9,1805.7
Elizabeth Police Dept,NJ,12,128345,889.8,2996.6
Erie Police Dept,PA,12,100403,404.4,2629.4
Escondido Police Dept,CA,12,149839,341.7,2019.5
